component_name,category,input_bandwidth,power_consumption,supply_voltage,stock_quantity,price
Component_388,Diode,58.97 MHz,5.65 W,10.34 V,395,22.8
Component_389,Diode,85.08 MHz,6.65 W,1.74 V,397,25.5
Component_390,Capacitor,62.84 MHz,0.97 W,3.12 V,262,4.45
Component_391,Transistor,40.60 MHz,6.11 W,5.37 V,134,3.74
Component_392,Inductor,88.74 MHz,5.17 W,7.48 V,364,10.44
Component_393,Transistor,51.16 MHz,4.27 W,6.28 V,403,4.59
Component_394,Capacitor,24.74 MHz,0.70 W,6.19 V,457,0.57
Component_395,Capacitor,29.21 MHz,6.52 W,2.96 V,287,7.24
Component_396,Resistor,41.56 MHz,1.70 W,1.17 V,395,19.93
Component_397,Capacitor,14.10 MHz,4.23 W,2.41 V,333,17.22
Component_398,Capacitor,54.66 MHz,5.08 W,2.38 V,412,34.01
Component_399,Transistor,14.11 MHz,7.51 W,3.79 V,211,12.36
Component_400,Diode,41.83 MHz,5.91 W,11.86 V,262,16.62
Component_401,Resistor,54.88 MHz,9.12 W,5.23 V,24,31.57
Component_402,Inductor,59.73 MHz,3.23 W,5.05 V,354,23.47
Component_403,Inductor,19.14 MHz,0.98 W,1.48 V,451,37.9
Component_404,Inductor,49.46 MHz,7.44 W,1.25 V,123,37.7
Component_405,Capacitor,4.43 MHz,3.31 W,9.33 V,410,0.88
Component_406,Transistor,55.73 MHz,4.00 W,8.24 V,302,1.33
Component_407,Inductor,56.94 MHz,3.51 W,11.49 V,170,7.97
Component_408,Transistor,15.66 MHz,3.97 W,4.19 V,131,17.21
Component_409,Resistor,90.32 MHz,3.74 W,11.60 V,17,47.29
Component_410,Diode,50.57 MHz,5.41 W,7.50 V,232,19.5
Component_411,Capacitor,63.85 MHz,4.91 W,3.17 V,279,10.65
Component_412,Capacitor,51.99 MHz,3.18 W,3.61 V,107,46.69
Component_413,Inductor,66.42 MHz,6.06 W,4.89 V,294,22.7
Component_414,Inductor,83.57 MHz,1.15 W,1.16 V,152,24.21
Component_415,Inductor,86.81 MHz,0.78 W,2.63 V,341,13.11
Component_416,Inductor,53.48 MHz,7.47 W,6.41 V,282,33.17
Component_417,Diode,6.15 MHz,8.95 W,4.49 V,11,15.06
Component_418,Capacitor,65.70 MHz,7.23 W,4.48 V,350,19.55
Component_419,Diode,14.04 MHz,7.30 W,9.76 V,91,37.3
Component_420,Diode,81.02 MHz,6.65 W,1.28 V,143,49.35
Component_421,Capacitor,8.17 MHz,9.58 W,11.91 V,405,20.33
Component_422,Capacitor,83.03 MHz,9.82 W,9.65 V,314,15.32
Component_423,Transistor,75.04 MHz,3.42 W,1.03 V,482,40.57
Component_424,Transistor,95.41 MHz,7.05 W,3.08 V,351,20
Component_425,Capacitor,52.18 MHz,4.74 W,2.36 V,385,21.63
Component_426,Transistor,48.04 MHz,9.75 W,9.34 V,205,5.1
Component_427,Inductor,79.92 MHz,7.93 W,10.39 V,23,4.44
Component_428,Resistor,55.35 MHz,4.16 W,7.58 V,375,43.41
Component_429,Transistor,16.34 MHz,2.64 W,10.11 V,21,13.02
Component_430,Transistor,68.79 MHz,3.43 W,9.82 V,229,44.67
Component_431,Resistor,90.30 MHz,9.07 W,7.68 V,103,37.48
Component_432,Capacitor,92.57 MHz,2.49 W,8.81 V,477,46.65
Component_433,Resistor,64.90 MHz,8.87 W,8.26 V,244,22.15
Component_434,Inductor,44.00 MHz,8.57 W,6.58 V,238,47.4
Component_435,Inductor,95.51 MHz,3.52 W,11.56 V,131,27.35
Component_436,Transistor,77.62 MHz,5.10 W,7.47 V,498,26.58
Component_437,Inductor,82.36 MHz,7.25 W,11.63 V,198,8.61
Component_438,Inductor,20.79 MHz,5.81 W,6.14 V,432,15.29
Component_439,Inductor,64.81 MHz,4.68 W,6.09 V,375,25.12
Component_440,Diode,20.85 MHz,2.06 W,2.12 V,421,43.26
Component_441,Capacitor,74.48 MHz,4.21 W,5.44 V,80,15.88
Component_442,Inductor,50.38 MHz,1.49 W,10.25 V,234,30.05
Component_443,Diode,29.36 MHz,6.39 W,6.60 V,484,13.96
Component_444,Inductor,60.02 MHz,2.08 W,11.99 V,345,46.16
Component_445,Transistor,66.45 MHz,6.21 W,3.30 V,431,39.43
Component_446,Diode,34.94 MHz,3.04 W,11.76 V,445,42.18
Component_447,Capacitor,18.97 MHz,5.39 W,6.34 V,416,27.16
Component_448,Diode,29.22 MHz,0.38 W,3.09 V,474,35.77
Component_449,Inductor,32.34 MHz,6.92 W,4.25 V,79,25.53
Component_450,Transistor,72.07 MHz,4.00 W,7.39 V,324,17.97
Component_451,Inductor,43.76 MHz,8.31 W,3.02 V,417,5.3
Component_452,Transistor,71.10 MHz,1.21 W,8.95 V,247,48.95
Component_453,Capacitor,17.13 MHz,5.24 W,10.54 V,311,39.36
Component_454,Resistor,11.87 MHz,6.84 W,7.94 V,254,20.73
Component_455,Diode,94.69 MHz,6.61 W,3.54 V,196,28.34
Component_456,Capacitor,13.38 MHz,0.90 W,10.28 V,238,41.63
Component_457,Transistor,6.52 MHz,2.21 W,1.27 V,394,4.03
Component_458,Inductor,18.57 MHz,2.48 W,5.61 V,263,48.83
Component_459,Capacitor,26.27 MHz,9.18 W,11.47 V,282,10.15
Component_460,Inductor,38.26 MHz,1.43 W,4.90 V,65,37.1
Component_461,Resistor,44.42 MHz,2.09 W,10.42 V,458,44.64
Component_462,Capacitor,3.74 MHz,3.21 W,6.85 V,14,27.73
Component_463,Inductor,64.94 MHz,2.08 W,3.51 V,207,26.82
Component_464,Capacitor,61.59 MHz,9.92 W,8.45 V,294,46.93
Component_465,Transistor,3.74 MHz,6.12 W,4.99 V,152,45.09
Component_466,Inductor,70.56 MHz,8.21 W,9.62 V,425,29.64
Component_467,Transistor,40.54 MHz,6.10 W,5.70 V,314,19.16
Component_468,Diode,5.68 MHz,3.16 W,1.04 V,454,43.81
Component_469,Diode,52.24 MHz,4.96 W,7.37 V,110,7.75
Component_470,Capacitor,29.98 MHz,2.58 W,8.32 V,219,18
Component_471,Inductor,29.90 MHz,6.50 W,11.81 V,399,18.93
Component_472,Capacitor,2.33 MHz,8.38 W,5.43 V,431,37
Component_473,Capacitor,90.67 MHz,2.50 W,11.05 V,171,16.23
Component_474,Capacitor,35.78 MHz,6.89 W,8.97 V,248,38.13
Component_475,Resistor,76.55 MHz,1.41 W,3.50 V,446,45.4
Component_476,Diode,20.82 MHz,3.13 W,11.97 V,317,24.94
Component_477,Transistor,76.93 MHz,7.84 W,2.10 V,380,19.33
Component_478,Diode,59.71 MHz,4.36 W,9.61 V,16,43.7
Component_479,Diode,98.04 MHz,9.35 W,4.43 V,334,19.82
Component_480,Transistor,57.88 MHz,7.51 W,11.38 V,301,21.27
Component_481,Inductor,12.89 MHz,2.03 W,1.62 V,112,28.6
Component_482,Resistor,82.94 MHz,9.96 W,11.68 V,341,36.36
Component_483,Transistor,50.19 MHz,5.53 W,7.30 V,352,22.1
Component_484,Transistor,25.86 MHz,4.10 W,7.03 V,496,29.53
Component_485,Diode,10.91 MHz,6.50 W,4.75 V,169,17.95
Component_486,Resistor,42.46 MHz,5.31 W,11.33 V,450,37.07
Component_487,Transistor,9.77 MHz,5.34 W,4.84 V,313,40.91
Component_488,Capacitor,9.17 MHz,4.34 W,3.00 V,157,18.41
Component_489,Diode,87.39 MHz,7.01 W,5.53 V,274,6.93
Component_490,Capacitor,54.42 MHz,6.04 W,11.70 V,442,8.96
Component_491,Transistor,51.91 MHz,4.61 W,5.55 V,169,8.45
Component_492,Inductor,4.82 MHz,5.17 W,5.74 V,313,1.34
Component_493,Resistor,25.07 MHz,9.96 W,3.16 V,234,30.75
Component_494,Inductor,86.52 MHz,3.19 W,9.52 V,175,25.71
Component_495,Capacitor,89.79 MHz,9.73 W,3.89 V,121,30.25
Component_496,Transistor,80.40 MHz,5.87 W,2.15 V,379,24.79
Component_497,Transistor,8.87 MHz,8.62 W,4.20 V,318,3.74
Component_498,Diode,86.93 MHz,3.23 W,7.55 V,245,10.87
Component_499,Transistor,88.74 MHz,2.54 W,1.03 V,188,26.11
Component_500,Transistor,22.99 MHz,0.66 W,4.77 V,121,27.12
